Run Name,Strategy,Status,Stop Reason,Total Iters,Exec Time (s),Size,Obstacles,Border,Sprayer,Initial Obj,Final Obj,Improvement (%),Final Coverage (%),Final Dist,Final Maneuver,Plot,History File
inst_08_small_many_small_with_border_spray20_first,first,Success,max_time_secs,15045,1800.1494116783142,small,many_small,Yes,20,23.92811296534018,23.92811296534018,0.0,69.06290115532734,22.0,1.0,agricultural_csp/results\inst_08_small_many_small_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_08_small_many_small_with_border_spray20_first_history.csv
inst_11_small_few_large_with_border_spray12_first,first,Success,max_time_secs,1858,1801.4013738632202,small,few_large,Yes,12,369.5372871403406,353.7360027443969,4.275964820281527,82.67762771579565,328.6946142089749,24.521717366895896,agricultural_csp/results\inst_11_small_few_large_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_11_small_few_large_with_border_spray12_first_history.csv
inst_07_small_many_small_with_border_spray12_first,first,Success,max_time_secs,3373,1802.7237663269043,small,many_small,Yes,12,386.90928435109817,372.4189042863532,3.7451621480335837,87.37244897959184,358.9173741938866,13.122703561854397,agricultural_csp/results\inst_07_small_many_small_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_07_small_many_small_with_border_spray12_first_history.csv
inst_04_small_none_with_border_spray20_first,first,Success,max_time_secs,2962,1805.671055316925,small,none,Yes,20,254.49246987951807,251.48512604736814,1.1817024816387165,83.83534136546184,240.09072203437452,10.90946425395748,agricultural_csp/results\inst_04_small_none_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_04_small_none_with_border_spray20_first_history.csv
inst_06_small_many_small_no_border_spray20_first,first,Success,max_time_secs,3751,1805.832053899765,small,many_small,No,20,775.0127901468499,446.22466018959665,42.42357469932261,99.81051634296541,436.867627465834,9.351348214051573,agricultural_csp/results\inst_06_small_many_small_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_06_small_many_small_no_border_spray20_first_history.csv
inst_03_small_none_with_border_spray12_first,first,Success,max_time_secs,1574,1806.909149646759,small,none,Yes,12,531.3553398058252,455.4323724371214,14.288548863825964,97.18446601941747,441.9680340354545,13.37987238224948,agricultural_csp/results\inst_03_small_none_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_03_small_none_with_border_spray12_first_history.csv
inst_10_small_few_large_no_border_spray20_first,first,Success,max_time_secs,2534,1807.7851512432098,small,few_large,No,20,636.0500902527076,462.46309589989403,27.29140314780022,100.0,457.5651189548068,4.897976945087226,agricultural_csp/results\inst_10_small_few_large_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_10_small_few_large_no_border_spray20_first_history.csv
inst_09_small_few_large_no_border_spray12_first,first,Success,max_time_secs,3375,1808.94855427742,small,few_large,No,12,1059.0245901639346,803.4744473795935,24.13070906547907,100.0,788.1117858623397,15.362661517253695,agricultural_csp/results\inst_09_small_few_large_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_09_small_few_large_no_border_spray12_first_history.csv
inst_05_small_many_small_no_border_spray12_first,first,Success,max_time_secs,2076,1809.5015532970428,small,many_small,No,12,979.1312741312742,677.6762062359692,30.78801340124371,98.4126984126984,659.3717449153581,18.256842272992014,agricultural_csp/results\inst_05_small_many_small_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_05_small_many_small_no_border_spray12_first_history.csv
inst_01_small_none_no_border_spray12_first,first,Success,max_time_secs,2372,1812.3087689876556,small,none,No,12,1187.0,754.5678460101403,36.43067851641615,100.0,737.9898887920647,16.57795721807562,agricultural_csp/results\inst_01_small_none_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_01_small_none_no_border_spray12_first_history.csv
