Iteration,Best_Obj,Best_Cov_Pen,Best_Dist,Best_Man_Pen,Current_Obj,Current_Cov_Pen,Current_Dist,Current_Man_Pen
0,4917.0,0.0,4424.0,493.0,4917.0,0.0,4424.0,493.0
1,4917.0,0.0,4424.0,493.0,4917.0,0.0,4424.0,493.0
2,4897.109501948363,0.0,4406.520583250938,490.5889186974246,4897.109501948363,0.0,4406.520583250938,490.5889186974246
3,4884.109501948363,0.0,4394.520583250938,489.5889186974246,4884.109501948363,0.0,4394.520583250938,489.5889186974246
4,4871.889204251685,0.0,4384.576096005579,487.3131082461066,4871.889204251685,0.0,4384.576096005579,487.3131082461066
5,4862.37916927179,0.0,4377.444058269692,484.9351110020983,4862.37916927179,0.0,4377.444058269692,484.9351110020983
6,4850.960245313394,0.0,4368.503986441976,482.45625887141773,4850.960245313394,0.0,4368.503986441976,482.45625887141773
7,4840.233599570703,0.0,4360.030095670456,480.2035039002468,4840.233599570703,0.0,4360.030095670456,480.2035039002468
8,4827.233599570703,0.0,4348.030095670456,479.2035039002468,4827.233599570703,0.0,4348.030095670456,479.2035039002468
9,4814.233599570703,0.0,4336.030095670456,478.2035039002468,4814.233599570703,0.0,4336.030095670456,478.2035039002468
10,4804.789948756806,0.0,4329.000658418932,475.7892903378737,4804.789948756806,0.0,4329.000658418932,475.7892903378737
11,4794.818989695571,0.0,4321.439747333518,473.3792423620525,4794.818989695571,0.0,4321.439747333518,473.3792423620525
12,4781.818989695571,0.0,4309.439747333518,472.3792423620525,4781.818989695571,0.0,4309.439747333518,472.3792423620525
13,4772.082445662862,0.0,4302.410310081996,469.6721355808659,4772.082445662862,0.0,4302.410310081996,469.6721355808659
14,4762.6387948489655,0.0,4295.380872830473,467.2579220184928,4762.6387948489655,0.0,4295.380872830473,467.2579220184928
15,4752.66783578773,0.0,4287.819961745058,464.84787404267155,4752.66783578773,0.0,4287.819961745058,464.84787404267155
16,4742.9312917550205,0.0,4280.7905244935355,462.140767261485,4742.9312917550205,0.0,4280.7905244935355,462.140767261485
17,4733.4876409411245,0.0,4273.761087242013,459.7265536991119,4733.4876409411245,0.0,4273.761087242013,459.7265536991119
18,4724.111053281491,0.0,4266.965737776099,457.1453155053928,4724.111053281491,0.0,4266.965737776099,457.1453155053928
19,4714.667402467595,0.0,4259.936300524575,454.7311019430196,4714.667402467595,0.0,4259.936300524575,454.7311019430196
20,4706.637965216072,0.0,4252.906863273052,453.7311019430196,4706.637965216072,0.0,4252.906863273052,453.7311019430196
21,4697.490243288287,0.0,4246.527362624865,450.96288066342225,4697.490243288287,0.0,4246.527362624865,450.96288066342225
22,4688.342521360503,0.0,4240.1478619766785,448.1946593838249,4688.342521360503,0.0,4240.1478619766785,448.1946593838249
23,4678.898870546608,0.0,4233.118424725157,445.7804458214518,4678.898870546608,0.0,4233.118424725157,445.7804458214518
24,4669.455219732712,0.0,4226.088987473633,443.3662322590787,4669.455219732712,0.0,4226.088987473633,443.3662322590787
25,4660.264898601872,0.0,4219.293638007719,440.97126059415285,4660.264898601872,0.0,4219.293638007719,440.97126059415285
26,4651.074577471032,0.0,4212.498288541805,438.576288929227,4651.074577471032,0.0,4212.498288541805,438.576288929227
27,4642.3730938733415,0.0,4205.7766729716695,436.59642090167216,4642.3730938733415,0.0,4205.7766729716695,436.59642090167216
