Iteration,Best_Obj,Best_Cov_Pen,Best_Dist,Best_Man_Pen,Current_Obj,Current_Cov_Pen,Current_Dist,Current_Man_Pen
0,10891.0,0.0,9792.0,1099.0,10891.0,0.0,9792.0,1099.0
1,10891.0,0.0,9792.0,1099.0,10891.0,0.0,9792.0,1099.0
2,10879.020416966585,0.0,9782.413111231468,1096.6073057351177,10879.020416966585,0.0,9782.413111231468,1096.6073057351177
3,10865.651197334864,0.0,9771.16020421105,1094.4909931238149,10865.651197334864,0.0,9771.16020421105,1094.4909931238149
4,10853.430899638186,0.0,9761.21571696569,1092.2151826724967,10853.430899638186,0.0,9761.21571696569,1092.2151826724967
5,10839.030899638186,0.0,9749.21571696569,1089.8151826724966,10839.030899638186,0.0,9749.21571696569,1089.8151826724966
6,10819.030899638186,0.0,9733.21571696569,1085.8151826724966,10819.030899638186,0.0,9733.21571696569,1085.8151826724966
7,10803.149992124763,0.0,9719.686485089032,1083.4635070357306,10803.149992124763,0.0,9719.686485089032,1083.4635070357306
8,10714.149992124763,0.0,9631.686485089032,1082.4635070357306,10714.149992124763,0.0,9631.686485089032,1082.4635070357306
9,10702.366576073853,0.0,9622.322127215584,1080.0444488582689,10702.366576073853,0.0,9622.322127215584,1080.0444488582689
10,10691.044346603003,0.0,9612.487652276182,1078.55669432682,10691.044346603003,0.0,9612.487652276182,1078.55669432682
11,10680.644346603003,0.0,9604.487652276182,1076.15669432682,10680.644346603003,0.0,9604.487652276182,1076.15669432682
12,10669.463869006546,0.0,9594.663667257451,1074.8002017490944,10669.463869006546,0.0,9594.663667257451,1074.8002017490944
13,10656.84300478348,0.0,9584.270684261417,1072.5723205220645,10656.84300478348,0.0,9584.270684261417,1072.5723205220645
14,10644.84300478348,0.0,9576.270684261417,1068.5723205220645,10644.84300478348,0.0,9576.270684261417,1068.5723205220645
15,10632.84300478348,0.0,9568.270684261417,1064.5723205220645,10632.84300478348,0.0,9568.270684261417,1064.5723205220645
16,10621.54618525217,0.0,9559.3306124337,1062.2155728184694,10621.54618525217,0.0,9559.3306124337,1062.2155728184694
17,10610.640023108912,0.0,9549.85289050587,1060.787132603042,10610.640023108912,0.0,9549.85289050587,1060.787132603042
18,10598.79005120377,0.0,9540.315982929325,1058.4740682744448,10598.79005120377,0.0,9540.315982929325,1058.4740682744448
19,10589.346400389875,0.0,9533.286545677804,1056.0598547120717,10589.346400389875,0.0,9533.286545677804,1056.0598547120717
